window_years,0,1,2,5,10,20,50,100
1,45.1,40.6,36.7,25.8,13.4,3.8,0.5,0.1
2,45.6,39.4,33.9,20.4,8.6,2.2,0.3,0.1
3,45.0,37.9,31.1,17.0,6.6,1.6,0.2,0.0
4,44.7,36.8,29.4,14.8,5.6,1.3,0.2,0.0
5,44.5,35.8,28.4,13.8,4.9,1.2,0.1,0.0
